,Date,nameOrig,amount,oldbalanceOrg,newbalanceOrig,City,type,Card Type,Exp Type,Gender,isFraud
0,02-Mar-12,C66647849,29848.64,180104.0,150255.36,"Greater Mumbai, India",CASH_OUT,Gold,Entertainment,M,0
1,09-Oct-12,C1425726912,9520.21,114767.0,105246.79,"Byasanagar, India",PAYMENT,Silver,Fuel,M,0
2,05-Nov-13,C1130047389,9158.7,166572.0,157413.3,"Bilaspur, India",PAYMENT,Platinum,Entertainment,F,0
3,22-Jun-13,C494954393,491.0,929.71,438.71,"Ahmedabad, India",CASH_OUT,Signature,Food,F,0
4,18-Dec-12,C1598752306,3812.0,7406.0,3594.0,"Shirdi, India",CASH_OUT,Platinum,Food,F,0
5,30-Mar-13,C1006085253,131.88,62427.0,62295.12,"Bengaluru, India",PAYMENT,Silver,Grocery,F,0
6,22-Jan-14,C1186319943,777.81,2651.0,1873.19,"Pune, India",PAYMENT,Silver,Fuel,F,0
7,09-Sep-12,C929226426,236297.01,2163195.12,1926898.11,"Palwal, India",CASH_IN,Gold,Fuel,F,0
8,14-Jan-14,C685084184,4645.23,19911.0,15265.77,"Surat, India",PAYMENT,Signature,Entertainment,F,0
9,13-Apr-12,C495185744,1739.0,40382.0,38643.0,"Delhi, India",CASH_OUT,Gold,Food,F,1
10,30-Jul-12,C1140079098,764.0,31106.0,30342.0,"Manmad, India",CASH_IN,Platinum,Grocery,F,0
11,09-Oct-13,C248442937,35224.0,49862.0,14638.0,"Bengaluru, India",CASH_IN,Platinum,Bills,F,1
12,23-May-14,C1881709246,14330.9,309613.0,295282.1,"Lucknow, India",PAYMENT,Gold,Bills,M,0
13,07-Apr-13,C1043640433,324965.66,1310513.05,985547.39,"Thana Bhawan, India",CASH_IN,Platinum,Food,F,0
14,04-Oct-12,C743739947,36539.82,464525.0,427985.18,"Tarn Taran, India",CASH_OUT,Signature,Entertainment,F,0
15,21-Oct-11,C765560446,45706.0,80242.28,34536.28,"Ahmedabad, India",CASH_OUT,Silver,Grocery,F,0
16,12-Mar-12,C612094449,2632.63,47049.71,44417.08,"Bengaluru, India",PAYMENT,Silver,Bills,F,0
17,25-Jul-12,C1952674660,62349.15,131887.17,69538.02,"Bhadrachalam, India",CASH_IN,Gold,Food,M,0
18,03-Feb-13,C1749813194,8778.42,21656.0,12877.58,"Ichalkaranji, India",PAYMENT,Signature,Bills,M,0
19,04-Apr-13,C835689094,9741.0,60024.0,50283.0,"Delhi, India",TRANSFER,Platinum,Entertainment,M,1
20,15-Nov-13,C488030676,9679.08,59145.25,49466.17,"Sidlaghatta, India",CASH_OUT,Silver,Food,M,0
21,16-Mar-13,C1762272801,148620.13,2300378.46,2151758.33,"Delhi, India",CASH_IN,Signature,Bills,M,0
22,01-Jan-13,C132885351,49437.56,5876873.1,5827435.54,"Greater Mumbai, India",CASH_IN,Silver,Bills,F,0
23,04-Aug-13,C208896587,109147.0,229254.0,120107.0,"Greater Mumbai, India",CASH_OUT,Signature,Grocery,F,0
24,11-Apr-13,C1429734567,9747.0,49202.0,39455.0,"Delhi, India",CASH_OUT,Silver,Entertainment,F,0
25,25-Dec-11,C373088261,0.0,0.0,0.0,"Bengaluru, India",CASH_OUT,Platinum,Entertainment,M,0
26,09-Sep-13,C1180150774,319653.77,4319262.27,3999608.5,"Greater Mumbai, India",CASH_IN,Signature,Food,M,0
27,22-Oct-11,C128814695,5879.26,7601.36,1722.1,"Puranpur, India",PAYMENT,Signature,Grocery,F,0
28,13-Feb-12,C738439461,52710.03,8130292.47,8077582.44,"Delhi, India",CASH_IN,Silver,Travel,M,0
29,01-Jan-14,C216727070,25151.0,26923.0,1772.0,"Delhi, India",CASH_OUT,Platinum,Bills,M,0
30,15-Jul-13,C1392103969,0.0,0.0,0.0,"Greater Mumbai, India",PAYMENT,Platinum,Food,M,0
31,24-Apr-13,C156075424,153314.87,3079430.13,2926115.26,"Ahmedabad, India",CASH_IN,Gold,Grocery,M,0
32,17-Mar-12,C559050361,241308.35,406102.24,164793.89,"Lucknow, India",TRANSFER,Silver,Entertainment,F,0
33,30-Oct-13,C2035632839,47481.0,62928.0,15447.0,"Delhi, India",CASH_OUT,Signature,Fuel,F,0
34,01-Apr-12,C542246556,158.77,79563.0,79404.23,"Greater Mumbai, India",PAYMENT,Silver,Food,M,0
35,11-Nov-12,C1410674729,188.0,263.0,75.0,"Surat, India",CASH_IN,Platinum,Bills,M,0
36,19-Feb-13,C1892754214,168810.41,8232692.47,8063882.06,"Ahmedabad, India",CASH_IN,Signature,Fuel,M,0
37,21-Jan-14,C1427418619,9829.94,592727.9,582897.96,"Robertsganj, India",PAYMENT,Gold,Entertainment,F,0
38,01-Mar-14,C1191771687,9680.0,11671.0,1991.0,"Lalsot, India",TRANSFER,Platinum,Fuel,F,0
39,31-May-12,C837099802,0.0,0.0,0.0,"Tirupati, India",CASH_OUT,Silver,Food,F,0
40,14-Jun-14,C179793627,105400.71,554335.0,448934.29,"Surat, India",CASH_OUT,Platinum,Grocery,M,0
41,13-Feb-13,C1628622422,23865.0,47230.0,23365.0,"Dimapur, India",TRANSFER,Platinum,Grocery,M,1
42,28-Apr-13,C1795647916,98792.67,842502.92,743710.25,"Greater Mumbai, India",CASH_IN,Platinum,Grocery,M,0
43,04-Nov-12,C611519522,90860.29,787868.0,697007.71,"Nawapur, India",CASH_IN,Silver,Food,M,0
44,19-Oct-13,C1628626869,385.81,321651.0,321265.19,"Kanpur, India",PAYMENT,Signature,Entertainment,M,0
45,24-Jan-14,C1694695922,59189.34,3575787.15,3516597.81,"Ahmedabad, India",CASH_IN,Silver,Grocery,M,0
46,17-Nov-11,C2033461293,402.0,11543.0,11141.0,"Tasgaon, India",CASH_OUT,Signature,Fuel,M,1
47,24-Feb-14,C1882069678,17855.0,33314.0,15459.0,"Jaipur, India",CASH_OUT,Platinum,Bills,M,0
48,19-Sep-13,C467997855,165849.12,6717730.0,6551880.88,"Bengaluru, India",CASH_IN,Silver,Entertainment,M,0
49,19-May-12,C794724415,17377.17,627940.15,610562.98,"Kanpur, India",PAYMENT,Silver,Fuel,F,0
50,07-Jun-12,C846381090,0.0,0.0,0.0,"Ahmedabad, India",PAYMENT,Signature,Fuel,F,0
